"name","feature_type","description","score"
"HIC1","Gene","HIC ZBTB transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:4909]  HYPERMETHYLATED IN CANCER 1; HIC1 [*603825] (MIM gene record; description: HYPERMETHYLATED IN CANCER 1; HIC1,) is an external reference matched to Gene ENSG00000177374","1.1013259"
"PDGFRL","Gene","platelet derived growth factor receptor like [Source:HGNC Symbol;Acc:HGNC:8805]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000104213","1.101267"
"SDCCAG8","Gene","SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671]  SHH SIGNALING AND CILIOGENESIS REGULATOR SDCCAG8; SDCCAG8 [*613524] (MIM gene record; description: SHH SIGNALING AND CILIOGENESIS REGULATOR SDCCAG8; SDCCAG8;;SEROLOGICALLY DEFINED COLON CANCER ANTIGEN 8;;CENTROSOMAL COLON CANCER AUTOANTIGEN PROTEIN; CCCAP;;NY-CO-8;;SLSN7 GENE;;NPHP10 GENE;;BBS16 GENE,) is an external reference matched to Gene ENSG00000054282","1.1012173"
"BLCAP","Gene","BLCAP apoptosis inducing factor [Source:HGNC Symbol;Acc:HGNC:1055]  BLADDER CANCER-ASSOCIATED PROTEIN; BLCAP [*613110] (MIM gene record; description: BLADDER CANCER-ASSOCIATED PROTEIN; BLCAP;;BLADDER CANCER-ASSOCIATED, 10-KD; BC10,) is an external reference matched to Gene ENSG00000166619","1.1010028"
"POU2AF3","Gene","POU class 2 homeobox associating factor 3 [Source:HGNC Symbol;Acc:HGNC:26978]  COLCA2 GENE; COLCA2 [*615694] (MIM gene record; description: COLCA2 GENE; COLCA2;;COLORECTAL CANCER-ASSOCIATED GENE 2,) is an external reference matched to Gene ENSG00000214290","1.1010028"
"C4orf46","Gene","chromosome 4 open reading frame 46 [Source:HGNC Symbol;Acc:HGNC:27320]  CHROMOSOME 4 OPEN READING FRAME 46; C4ORF46 [*616210] (MIM gene record; description: CHROMOSOME 4 OPEN READING FRAME 46; C4ORF46;;RENAL CANCER DIFFERENTIATION GENE 1; RCDG1,) is an external reference matched to Gene ENSG00000205208","1.1009185"
"HIC2","Gene","HIC ZBTB transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:18595]  HYPERMETHYLATED IN CANCER 2; HIC2 [*607712] (MIM gene record; description: HYPERMETHYLATED IN CANCER 2; HIC2;;HIC1-RELATED GENE ON CHROMOSOME 22; HRG22;;KIAA1020,) is an external reference matched to Gene ENSG00000169635","1.1007451"
"DDX53","Gene","DEAD-box helicase 53 [Source:HGNC Symbol;Acc:HGNC:20083]  DEAD-BOX HELICASE 53; DDX53 [*301079] (MIM gene record; description: DEAD-BOX HELICASE 53; DDX53;;CANCER-ASSOCIATED GENE; CAGE;;CANCER/TESTIS ANTIGEN 26,) is an external reference matched to Gene ENSG00000184735","1.1007006"
"EBAG9","Gene","estrogen receptor binding site associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:3123]  XP_047278368.1 (RefSeq peptide predicted record; description: receptor-binding cancer antigen expressed on SiSo cells isoform X1,) is an external reference matched to Translation ENSP00000337675","1.1007006"
"KLF6","Gene","KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]  PROSTATE CANCER [#176807] (MIM morbid record; description: PROSTATE CANCER,) is an external reference matched to Gene ENSG00000067082","1.1006558"
"TGFBR2","Gene","transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]  ESOPHAGEAL CANCER ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED [#133239] (MIM morbid record; description: ESOPHAGEAL CANCER ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED;;ESCC, SUSCEPTIBILITY TO, INCLUDED;;AERODIGESTIVE TRACT CANCER, SUSCEPTIBILITY TO, INCLUDED;;GASTRIC CARDIA ADENOCARCINOMA, SUSCEPTIBILITY TO, INCLUDED,) is an external reference matched to Gene ENSG00000163513","1.1006047"
"BPHL","Gene","biphenyl hydrolase like [Source:HGNC Symbol;Acc:HGNC:1094]  BIPHENYL HYDROLASE-LIKE; BPHL [*603156] (MIM gene record; description: BIPHENYL HYDROLASE-LIKE; BPHL;;VALACYCLOVIRASE;;MUCIN-ASSOCIATED ANTIGEN; MCNAA;;BREAST EPITHELIAL MUCIN-ASSOCIATED ANTIGEN,) is an external reference matched to Gene ENSG00000137274","1.1005267"
"MUC1","Gene","mucin 1, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7508]  MUCIN 1, CELL SURFACE ASSOCIATED; MUC1 [*158340] (MIM gene record; description: MUCIN 1, CELL SURFACE ASSOCIATED; MUC1;;MUCIN 1, TRANSMEMBRANE;;MUCIN 1, URINARY;;PEANUT-REACTIVE URINARY MUCIN; PUM;;MUCIN, TUMOR-ASSOCIATED EPITHELIAL;;POLYMORPHIC EPITHELIAL MUCIN; PEM;;EPITHELIAL MEMBRANE ANTIGEN; EMA;;BREAST CANCER-ASSOCIATED D /.../IGEN; DF3,) is an external reference matched to Gene ENSG00000185499","1.1005188"
"ZFYVE9","Gene","zinc finger FYVE-type containing 9 [Source:HGNC Symbol;Acc:HGNC:6775]  R-HSA-3304351 (Reactome gene record; description: Signaling by TGF-beta Receptor Complex in Cancer,) is an external reference matched to Gene ENSG00000157077","1.1002783"
"SLC45A3","Gene","solute carrier family 45 member 3 [Source:HGNC Symbol;Acc:HGNC:8642]  SOLUTE CARRIER FAMILY 45, MEMBER 3; SLC45A3 [*605097] (MIM gene record; description: SOLUTE CARRIER FAMILY 45, MEMBER 3; SLC45A3;;PROSTEIN; PRST;;PROSTATE CANCER-ASSOCIATED PROTEIN 6; PCANAP6;;IPCA6;;PROSTATE CANCER-ASSOCIATED PROTEIN 2; PCANAP2;;IPCA2;;PROSTATE CANCER-ASSOCIATED PROTEIN 8; PCANAP8;;IPCA8,) is an external reference matched to Gene ENSG00000158715","1.1001527"
"LDOC1","Gene","LDOC1 regulator of NFKB signaling [Source:HGNC Symbol;Acc:HGNC:6548]  LEUCINE ZIPPER, DOWNREGULATED IN CANCER 1; LDOC1 [*300402] (MIM gene record; description: LEUCINE ZIPPER, DOWNREGULATED IN CANCER 1; LDOC1,) is an external reference matched to Gene ENSG00000182195","1.1000754"
"MSMB","Gene","microseminoprotein beta [Source:HGNC Symbol;Acc:HGNC:7372]  PROSTATE CANCER, HEREDITARY, 13; HPC13 [#611928] (MIM morbid record; description: PROSTATE CANCER, HEREDITARY, 13; HPC13,) is an external reference matched to Gene ENSG00000263639","1.1000754"
"C1orf74","Gene","chromosome 1 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:26319]  A0A0A8K8E6.53 (UniProtKB/TrEMBL record; description: Chromosome 1 open reading frame 74; Up-regulated in lung cancer 4,) is an external reference matched to Translation ENSP00000294811","1.0998608"
"C16orf91","Gene","chromosome 16 open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:27558]  A0A0A8K8N9.36 (UniProtKB/TrEMBL record; description: Up-regulated in lung cancer 5,) is an external reference matched to Translation ENSP00000413100","1.0998608"
"OPCML","Gene","opioid binding protein/cell adhesion molecule like [Source:HGNC Symbol;Acc:HGNC:8143]  OVARIAN CANCER OVARIAN CANCER, EPITHELIAL, INCLUDED [#167000] (MIM morbid record; description: OVARIAN CANCER OVARIAN CANCER, EPITHELIAL, INCLUDED,) is an external reference matched to Gene ENSG00000183715","1.0998608"
"GALNT12","Gene","polypeptide N-acetylgalactosaminyltransferase 12 [Source:HGNC Symbol;Acc:HGNC:19877]  COLORECTAL CANCER, SUSCEPTIBILITY TO, 1; CRCS1 [#608812] (MIM morbid record; description: COLORECTAL CANCER, SUSCEPTIBILITY TO, 1; CRCS1;;COLORECTAL CANCER, SUSCEPTIBILITY TO, ON CHROMOSOME 9;;COLORECTAL ADENOMA AND CANCER, SUSCEPTIBILITY TO,) is an external reference matched to Gene ENSG00000119514","1.0998608"
"C20orf85","Gene","chromosome 20 open reading frame 85 [Source:HGNC Symbol;Acc:HGNC:16216]  CHROMOSOME 20 OPEN READING FRAME 85; C20ORF85 [*619277] (MIM gene record; description: CHROMOSOME 20 OPEN READING FRAME 85; C20ORF85;;LOST IN LUNG CANCER 1; LLC1,) is an external reference matched to Gene ENSG00000124237","1.0998608"
"NEURL1","Gene","neuralized E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:7761]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000107954","1.0998608"
"NEURL1B","Gene","neuralized E3 ubiquitin protein ligase 1B [Source:HGNC Symbol;Acc:HGNC:35422]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000214357","1.0998608"
"CYP2A6","Gene","cytochrome P450 family 2 subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:2610]  LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED [#211980] (MIM morbid record; description: LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED;;ADENOCARCINOMA OF LUNG, INCLUDED;;NONSMALL CELL LUNG CANCER, INCLUDED;;LUNG CANCER, PROTECTION AGAINST, INCLUDED,) is an external reference matched to Gene ENSG00000255974","1.0998608"
"OVCA2","Gene","OVCA2 serine hydrolase domain containing [Source:HGNC Symbol;Acc:HGNC:24203]  OVCA2 SERINE HYDROLASE DOMAIN-CONTAINING PROTEIN; OVCA2 [*607896] (MIM gene record; description: OVCA2 SERINE HYDROLASE DOMAIN-CONTAINING PROTEIN; OVCA2;;OVARIAN CANCER-ASSOCIATED GENE 2,) is an external reference matched to Gene ENSG00000262664","1.0998608"
"MLH3","Gene","mutL homolog 3 [Source:HGNC Symbol;Acc:HGNC:7128]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000119684","1.0998331"
"APC","Gene","APC regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:583]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000134982","1.0998191"
"NRAS","Gene","NRAS proto-oncogene, GTPase [Source:HGNC Symbol;Acc:HGNC:7989]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000213281","1.0998191"
"BTC","Gene","betacellulin [Source:HGNC Symbol;Acc:HGNC:1121]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000174808","1.099784"
"EREG","Gene","epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000124882","1.099784"
"SLC30A2","Gene","solute carrier family 30 member 2 [Source:HGNC Symbol;Acc:HGNC:11013]  ZINC DEFICIENCY, TRANSIENT NEONATAL; TNZD [#608118] (MIM morbid record; description: ZINC DEFICIENCY, TRANSIENT NEONATAL; TNZD;;ZINC DEFICIENCY, NEONATAL, DUE TO LOW BREAST MILK ZINC ZINC IN BREAST MILK, REDUCED, INCLUDED,) is an external reference matched to Gene ENSG00000158014","1.0997554"
"TGFB1","Gene","transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]  R-HSA-3304351 (Reactome gene record; description: Signaling by TGF-beta Receptor Complex in Cancer,) is an external reference matched to Gene ENSG00000105329","1.0996398"
"AXIN2","Gene","axin 2 [Source:HGNC Symbol;Acc:HGNC:904]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000168646","1.0995728"
"LTO1","Gene","LTO1 maturation factor of ABCE1 [Source:HGNC Symbol;Acc:HGNC:17589]  ORAL CANCER OVEREXPRESSED GENE 1; ORAOV1 [*607224] (MIM gene record; description: ORAL CANCER OVEREXPRESSED GENE 1; ORAOV1;;TUMOR AMPLIFIED AND OVEREXPRESSED SEQUENCE 1; TAOS1,) is an external reference matched to Gene ENSG00000149716","1.0995728"
"EGF","Gene","epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000138798","1.0994501"
"HOXB13","Gene","homeobox B13 [Source:HGNC Symbol;Acc:HGNC:5112]  PROSTATE CANCER, HEREDITARY, 9; HPC9 [#610997] (MIM morbid record; description: PROSTATE CANCER, HEREDITARY, 9; HPC9,) is an external reference matched to Gene ENSG00000159184","1.0994501"
"SMAD2","Gene","SMAD family member 2 [Source:HGNC Symbol;Acc:HGNC:6768]  R-HSA-3304351 (Reactome gene record; description: Signaling by TGF-beta Receptor Complex in Cancer,) is an external reference matched to Gene ENSG00000175387","1.0994501"
"FOXE1","Gene","forkhead box E1 [Source:HGNC Symbol;Acc:HGNC:3806]  THYROID CANCER, NONMEDULLARY, 4; NMTC4 [#616534] (MIM morbid record; description: THYROID CANCER, NONMEDULLARY, 4; NMTC4,) is an external reference matched to Gene ENSG00000178919","1.0994501"
"MACC1","Gene","MET transcriptional regulator MACC1 [Source:HGNC Symbol;Acc:HGNC:30215]  MET TRANSCRIPTIONAL REGULATOR MACC1; MACC1 [*612646] (MIM gene record; description: MET TRANSCRIPTIONAL REGULATOR MACC1; MACC1;;METASTASIS-ASSOCIATED GENE IN COLON CANCER 1,) is an external reference matched to Gene ENSG00000183742","1.0994501"
"BRINP1","Gene","BMP/retinoic acid inducible neural specific 1 [Source:HGNC Symbol;Acc:HGNC:2687]  BONE MORPHOGENETIC PROTEIN/RETINOIC ACID-INDUCIBLE NEURAL-SPECIFIC PROTEIN 1; BRINP1 [*602865] (MIM gene record; description: BONE MORPHOGENETIC PROTEIN/RETINOIC ACID-INDUCIBLE NEURAL-SPECIFIC PROTEIN 1; BRINP1;;DELETED IN BLADDER CANCER 1; DBC1;;DELETED IN BLADDER CANCER CHROMOSOME REGION CANDIDATE 1; DBCCR1,) is an external reference matched to Gene ENSG00000078725","1.0994501"
"HABP2","Gene","hyaluronan binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4798]  THYROID CANCER, NONMEDULLARY, 5; NMTC5 [#616535] (MIM morbid record; description: THYROID CANCER, NONMEDULLARY, 5; NMTC5,) is an external reference matched to Gene ENSG00000148702","1.0994501"
"FOXO6","Gene","forkhead box O6 [Source:HGNC Symbol;Acc:HGNC:24814]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000204060","1.0994501"
"EPGN","Gene","epithelial mitogen [Source:HGNC Symbol;Acc:HGNC:17470]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000182585","1.0994186"
"JAG2","Gene","jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000184916","1.0994186"
"ARMCX1","Gene","armadillo repeat containing X-linked 1 [Source:HGNC Symbol;Acc:HGNC:18073]","1.0994186"
"DLL4","Gene","delta like canonical Notch ligand 4 [Source:HGNC Symbol;Acc:HGNC:2910]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000128917","1.0994186"
"MIB1","Gene","MIB E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:21086]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000101752","1.0994186"
"AREG","Gene","amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000109321","1.0994186"
"MSMP","Gene","microseminoprotein, prostate associated [Source:HGNC Symbol;Acc:HGNC:29663]  MICROSEMINOPROTEIN, PROSTATE-ASSOCIATED; MSMP [*612191] (MIM gene record; description: MICROSEMINOPROTEIN, PROSTATE-ASSOCIATED; MSMP;;PC3 PROSTATE CANCER CELL-SECRETED MICROPROTEIN; PSMP,) is an external reference matched to Gene ENSG00000215183","1.0994186"
"PTPRJ","Gene","protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]  PROTEIN-TYROSINE PHOSPHATASE, RECEPTOR-TYPE, J; PTPRJ [*600925] (MIM gene record; description: PROTEIN-TYROSINE PHOSPHATASE, RECEPTOR-TYPE, J; PTPRJ;;DEP1;;PROTEIN-TYROSINE PHOSPHATASE, ETA;;SUSCEPTIBILITY TO COLON CANCER 1, MOUSE, HOMOLOG OF; SCC1;;CD148,) is an external reference matched to Gene ENSG00000149177","1.0994186"
"MAML1","Gene","mastermind like transcriptional coactivator 1 [Source:HGNC Symbol;Acc:HGNC:13632]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000161021","1.0993869"
"HEYL","Gene","hes related family bHLH transcription factor with YRPW motif like [Source:HGNC Symbol;Acc:HGNC:4882]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000163909","1.0993869"
"MAML3","Gene","mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000196782","1.0993869"
"RAD54B","Gene","RAD54 homolog B [Source:HGNC Symbol;Acc:HGNC:17228]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000197275","1.0993869"
"MAML2","Gene","mastermind like transcriptional coactivator 2 [Source:HGNC Symbol;Acc:HGNC:16259]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000184384","1.0993869"
"FH","Gene","fumarate hydratase [Source:HGNC Symbol;Acc:HGNC:3700]  HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER; HLRCC [#150800] (MIM morbid record; description: HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER; HLRCC;;MULTIPLE CUTANEOUS AND UTERINE LEIOMYOMATA 1, WITH OR WITHOUT RENAL CELL CARCINOMA; MCUL1;;LEIOMYOMATOSIS AND RENAL CELL CANCER, HEREDITARY; LRCC;;LEIOMYOMA, MULTIPLE CUTANEOUS; MCL,) is an external reference matched to Gene ENSG00000091483","1.0993869"
"RNF43","Gene","ring finger protein 43 [Source:HGNC Symbol;Acc:HGNC:18505]  SESSILE SERRATED POLYPOSIS CANCER SYNDROME; SSPCS [#617108] (MIM morbid record; description: SESSILE SERRATED POLYPOSIS CANCER SYNDROME; SSPCS,) is an external reference matched to Gene ENSG00000108375","1.0993869"
"STRN","Gene","striatin [Source:HGNC Symbol;Acc:HGNC:11424]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000115808","1.0993869"
"PSENEN","Gene","presenilin enhancer, gamma-secretase subunit [Source:HGNC Symbol;Acc:HGNC:30100]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000205155","1.0993869"
"MUCL1","Gene","mucin like 1 [Source:HGNC Symbol;Acc:HGNC:30588]  MUCIN-LIKE 1; MUCL1 [*610857] (MIM gene record; description: MUCIN-LIKE 1; MUCL1;;SMALL BREAST EPITHELIAL MUCIN; SBEM,) is an external reference matched to Gene ENSG00000172551","1.0993569"
"BCAS2","Gene","BCAS2 pre-mRNA processing factor [Source:HGNC Symbol;Acc:HGNC:975]  BCAS2 PRE-mRNA PROCESSING FACTOR; BCAS2 [*605783] (MIM gene record; description: BCAS2 PRE-mRNA PROCESSING FACTOR; BCAS2;;BREAST CARCINOMA AMPLIFIED SEQUENCE 2;;DAM1,) is an external reference matched to Gene ENSG00000116752","1.0993569"
"ERBB2","Gene","erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]  OVARIAN CANCER OVARIAN CANCER, EPITHELIAL, INCLUDED [#167000] (MIM morbid record; description: OVARIAN CANCER OVARIAN CANCER, EPITHELIAL, INCLUDED,) is an external reference matched to Gene ENSG00000141736","1.0993204"
"CDC37","Gene","cell division cycle 37, HSP90 cochaperone [Source:HGNC Symbol;Acc:HGNC:1735]  R-HSA-1227990 (Reactome gene record; description: Signaling by ERBB2 in Cancer,) is an external reference matched to Gene ENSG00000105401","1.0992897"
"MAP3K8","Gene","mitogen-activated protein kinase kinase kinase 8 [Source:HGNC Symbol;Acc:HGNC:6860]  MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 8; MAP3K8 [*191195] (MIM gene record; description: MITOGEN-ACTIVATED PROTEIN KINASE KINASE KINASE 8; MAP3K8;;TUMOR PROGRESSION LOCUS 2; TPL2;;CANCER OSAKA THYROID ONCOGENE; COT;;ONCOGENE COT;;EWING SARCOMA TRANSFORMANT; EST,) is an external reference matched to Gene ENSG00000107968","1.0992897"
"HBEGF","Gene","heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000113070","1.0992897"
"DCC","Gene","DCC netrin 1 receptor [Source:HGNC Symbol;Acc:HGNC:2701]  DCC NETRIN 1 RECEPTOR; DCC [*120470] (MIM gene record; description: DCC NETRIN 1 RECEPTOR; DCC;;NETRIN RECEPTOR DCC;;DELETED IN COLORECTAL CARCINOMA;;COLORECTAL CANCER-RELATED CHROMOSOME SEQUENCE 18; CRC18;;CRCR1,) is an external reference matched to Gene ENSG00000187323","1.0992482"
"RBX1","Gene","ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000100387","1.0992482"
"GAB1","Gene","GRB2 associated binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4066]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000109458","1.0992482"
"FGFR3","Gene","fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]  BLADDER CANCER [#109800] (MIM morbid record; description: BLADDER CANCER,) is an external reference matched to Gene ENSG00000068078","1.09912"
"NKX2-1","Gene","NK2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11825]  THYROID CANCER, NONMEDULLARY, 1; NMTC1 [#188550] (MIM morbid record; description: THYROID CANCER, NONMEDULLARY, 1; NMTC1;;PAPILLARY CARCINOMA OF THYROID; PACT; PTC; TPC;;FAMILIAL NONMEDULLARY THYROID CANCER, PAPILLARY;;NONMEDULLARY THYROID CARCINOMA, PAPILLARY,) is an external reference matched to Gene ENSG00000136352","1.099004"
"NRG2","Gene","neuregulin 2 [Source:HGNC Symbol;Acc:HGNC:7998]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000158458","1.099004"
"IRS1","Gene","insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000169047","1.099004"
"HES5","Gene","hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]  R-HSA-2644602 (Reactome gene record; description: Signaling by NOTCH1 PEST Domain Mutants in Cancer,) is an external reference matched to Gene ENSG00000197921","1.099004"
"PLA2G2A","Gene","phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]  COLORECTAL CANCER; CRC [#114500] (MIM morbid record; description: COLORECTAL CANCER; CRC;;COLON CANCER,) is an external reference matched to Gene ENSG00000188257","1.099004"
"RNF6","Gene","ring finger protein 6 [Source:HGNC Symbol;Acc:HGNC:10069]  ESOPHAGEAL CANCER ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED [#133239] (MIM morbid record; description: ESOPHAGEAL CANCER ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED;;ESCC, SUSCEPTIBILITY TO, INCLUDED;;AERODIGESTIVE TRACT CANCER, SUSCEPTIBILITY TO, INCLUDED;;GASTRIC CARDIA ADENOCARCINOMA, SUSCEPTIBILITY TO, INCLUDED,) is an external reference matched to Gene ENSG00000127870","1.099004"
"EGFR","Gene","epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]  LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED [#211980] (MIM morbid record; description: LUNG CANCER ALVEOLAR CELL CARCINOMA, INCLUDED;;ADENOCARCINOMA OF LUNG, INCLUDED;;NONSMALL CELL LUNG CANCER, INCLUDED;;LUNG CANCER, PROTECTION AGAINST, INCLUDED,) is an external reference matched to Gene ENSG00000146648","1.099004"
"IL1RN","Gene","interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]  GASTRIC CANCER GASTRIC CANCER, INTESTINAL, INCLUDED [#613659] (MIM morbid record; description: GASTRIC CANCER GASTRIC CANCER, INTESTINAL, INCLUDED,) is an external reference matched to Gene ENSG00000136689","1.0989765"
"PAGE5","Gene","PAGE family member 5 [Source:HGNC Symbol;Acc:HGNC:29992]  P ANTIGEN FAMILY, MEMBER 5; PAGE5 [*301009] (MIM gene record; description: P ANTIGEN FAMILY, MEMBER 5; PAGE5;;PROSTATE-ASSOCIATED GENE 5;;CANCER-TESTIS ANTIGEN 16; CT16;;G ANTIGEN FAMILY E, MEMBER 1; GAGEE1,) is an external reference matched to Gene ENSG00000158639","1.0989765"
"TGFA","Gene","transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]  R-HSA-2219528 (Reactome gene record; description: PI3K/AKT Signaling in Cancer,) is an external reference matched to Gene ENSG00000163235","1.0989765"
"TCIM","Gene","transcriptional and immune response regulator [Source:HGNC Symbol;Acc:HGNC:1357]  TRANSCRIPTIONAL AND IMMUNE RESPONSE REGULATOR; TCIM [*607702] (MIM gene record; description: TRANSCRIPTIONAL AND IMMUNE RESPONSE REGULATOR; TCIM;;CHROMOSOME 8 OPEN READING FRAME 4; C8ORF4;;THYROID CANCER 1; TC1,) is an external reference matched to Gene ENSG00000176907","1.0989765"
"C11orf71","Gene","chromosome 11 open reading frame 71 [Source:HGNC Symbol;Acc:HGNC:25937]  A0A0A8K8C2.47 (UniProtKB/TrEMBL record; description: Chromosome 11 open reading frame 71; Up-regulated in lung cancer 7,) is an external reference matched to Translation ENSP00000492536","1.0989765"
